"","earnings_publicxts.Open","earnings_publicxts.High","earnings_publicxts.Low","earnings_publicxts.Close"
"1994-07-02",625.8,625.8,625.8,625.8
"1995-07-02",637.5,638.6,637.5,638.6
"1996-07-02",655.2,671.2,655.2,671.2
"1997-07-02",693.1,699.7,693.1,699.7
"1998-07-02",721.5,739.5,721.5,739.5
"1999-07-02",743,751.4,743,751.4
"2000-07-02",764.3,774.8,764.3,774.8
"2001-07-02",791.8,803.9,791.8,803.9
"2002-07-02",819.8,824.6,819.8,824.6
"2003-07-02",852.9,865.8,852.9,865.8
"2004-07-02",885.3,901,885.3,901
"2005-07-02",913.3,942.5,913.3,942.5
"2006-07-02",954.9,986.1,954.9,986.1
"2007-07-02",1002.1,1012,1002.1,1012
"2008-07-02",1022.3,1048.3,1022.3,1048.3
"2009-07-02",1077.2,1107.6,1077.2,1107.6
"2010-07-02",1134.5,1161.9,1134.5,1161.9
"2011-07-02",1186.3,1203.4,1186.3,1203.4
"2012-07-02",1221.8,1257.4,1221.8,1257.4
"2013-07-02",1269.7,1282.7,1269.7,1282.7
"2014-07-02",1303.5,1306.3,1303.5,1306.3
"2015-07-02",1324.2,1349.2,1324.2,1349.2
"2016-07-02",1356.6,1390.8,1356.6,1390.8
"2017-07-02",1410.6,1432.6,1410.6,1432.6
"2018-07-02",1444.7,1468.2,1444.7,1468.2
"2019-07-02",1476.3,1506.1,1476.3,1506.1
"2020-07-02",1555.5,1563.6,1555.5,1563.6
"2021-01-01",1591,1591,1591,1591
