"","realgdpxts.Open","realgdpxts.High","realgdpxts.Low","realgdpxts.Close"
"1959 Q4",65956,66537,65956,66537
"1960 Q4",66873,68875,66873,68739
"1961 Q4",68946,68946,67702,68472
"1962 Q4",70394,73621,70394,73621
"1963 Q4",75322,79050,74341,79050
"1964 Q4",78923,83686,78923,83686
"1965 Q4",84388,85711,84388,85669
"1966 Q4",85422,89622,85422,89622
"1967 Q4",93120,95559,92989,95559
"1968 Q4",94708,103369,94708,103369
"1969 Q4",102653,108872,102653,108872
"1970 Q4",111134,113675,111134,113675
"1971 Q4",115049,119177,115049,118792
"1972 Q4",117351,120628,117351,120628
"1973 Q4",123743,128350,123743,128350
"1974 Q4",128375,128375,125785,127416
"1975 Q4",127920,131959,127920,128536
"1976 Q4",134221,136910,134221,136910
"1977 Q4",136164,138096,136164,137076
"1978 Q4",138043,142458,138043,142458
"1979 Q4",146357,148155,144012,148155
"1980 Q4",148820,152577,148820,152577
"1981 Q4",153166,158667,153166,158033
"1982 Q4",156752,158171,154627,154627
"1983 Q4",153074,159661,152783,159661
"1984 Q4",163669,168074,163669,168074
"1985 Q4",170521,176648,170521,176201
"1986 Q4",177357,180471,177038,180471
"1987 Q4",182209,192244,182209,192244
"1988 Q4",193067,197812,193067,197812
"1989 Q4",199852,205756,199852,205182
"1990 Q4",206890,207173,205931,207139
"1991 Q4",204453,205172,204195,205172
"1992 Q4",206707,214620,206707,214620
"1993 Q4",216105,221594,216105,221594
"1994 Q4",225301,232090,225301,232090
"1995 Q4",232015,238246,232015,238246
"1996 Q4",242299,248197,242299,248197
"1997 Q4",249712,261070,249712,261070
"1998 Q4",262859,274719,262859,274719
"1999 Q4",276845,285796,276845,285796
"2000 Q4",286832,290041,286832,288954
"2001 Q4",291890,301437,291890,301437
"2002 Q4",303715,312152,303715,312152
"2003 Q4",312462,324094,312462,324094
"2004 Q4",326766,334004,326766,334004
"2005 Q4",336632,344623,336632,344623
"2006 Q4",345342,355641,345342,355641
"2007 Q4",360899,368885,360899,368885
"2008 Q4",373067,376754,373067,375063
"2009 Q4",378859,384977,378859,384977
"2010 Q4",386904,395607,386904,395607
"2011 Q4",394551,409213,394551,409213
"2012 Q4",413003,420816,413003,420816
"2013 Q4",422061,430860,422061,430860
"2014 Q4",433778,439841,433778,439841
"2015 Q4",443529,451668,443529,451668
"2016 Q4",455436,464007,455436,464007
"2017 Q4",465099,475384,465099,475384
"2018 Q4",479411,486671,479411,486671
"2019 Q4",488666,497078,488666,497078
"2020 Q4",495455,495455,460884,492459
"2021 Q2",501788,505134,501788,505134
