"","year","rgdp","ag_share","mining_share","manuf_share","other_share"
"1",1801,35,30,0,3,67
"2",1802,38,46,0,1,53
"3",1803,39,44,0,7,49
"4",1804,43,37,0,2,61
"5",1805,48,47,0,2,52
"6",1806,52,46,0,0,54
"7",1807,57,49,0,3,49
"8",1808,58,45,0,2,53
"9",1809,60,47,0,2,51
"10",1810,75,61,0,5,34
"11",1811,85,58,0,2,40
"12",1812,83,56,0,2,42
"13",1813,86,55,0,2,43
"14",1814,90,52,0,4,44
"15",1815,101,56,0,4,40
"16",1816,108,48,0,6,46
"17",1817,110,49,0,4,47
"18",1818,125,51,0,5,44
"19",1819,140,54,0,3,44
"20",1820,152,54,0,3,43
"21",1821,179,56,0,4,40
"22",1822,211,55,0,5,41
"23",1823,215,52,0,5,43
"24",1824,220,50,0,5,45
"25",1825,242,49,0,5,46
"26",1826,256,49,0,5,46
"27",1827,273,45,0,5,50
"28",1828,301,47,0,4,49
"29",1829,336,44,0,5,51
"30",1830,433,43,0,7,50
"31",1831,529,42,0,6,52
"32",1832,566,40,0,7,53
"33",1833,602,42,0,8,50
"34",1834,652,50,0,7,43
"35",1835,794,57,0,6,37
"36",1836,912,55,0,5,40
"37",1837,957,48,0,6,46
"38",1838,1017,43,0,8,49
"39",1839,1020,43,0,9,48
"40",1840,1203,43,0,12,44
"41",1841,1332,43,0,8,49
"42",1842,1220,38,0,8,53
"43",1843,1312,36,0,6,57
"44",1844,1580,34,0,7,59
"45",1845,1773,35,0,7,58
"46",1846,1964,36,2,7,56
"47",1847,2331,36,2,9,53
"48",1848,2818,35,3,10,53
"49",1849,3168,33,2,10,55
"50",1850,3249,35,3,10,52
"51",1851,3662,33,5,11,51
"52",1852,4762,16,36,7,41
"53",1853,6073,16,28,9,48
"54",1854,6634,17,19,10,54
"55",1855,6732,23,22,8,47
"56",1856,8059,22,23,8,46
"57",1857,9012,24,22,12,42
"58",1858,8413,25,20,12,43
"59",1859,9398,25,18,12,46
"60",1860,10852,24,17,13,47
"61",1861,10989,20,15,5,60
"62",1862,10946,22,16,5,58
"63",1863,11028,22,14,5,59
"64",1864,11808,25,14,5,57
"65",1865,12372,24,12,5,59
"66",1866,12751,25,11,7,56
"67",1867,13931,28,11,7,54
"68",1868,15080,23,12,8,57
"69",1869,15511,25,11,8,57
"70",1870,16147,27,9,9,56
"71",1871,16403,24,12,9,55
"72",1872,16968,27,10,9,55
"73",1873,18773,28,8,9,55
"74",1874,20025,28,8,9,55
"75",1875,21461,29,8,9,54
"76",1876,22538,27,7,10,56
"77",1877,22959,24,6,11,60
"78",1878,24549,28,6,10,56
"79",1879,25872,27,5,10,57
"80",1880,26734,28,5,10,57
"81",1881,28396,25,5,11,60
"82",1882,28590,24,5,11,59
"83",1883,29821,25,4,11,59
"84",1884,31945,21,4,12,63
"85",1885,33084,22,4,12,62
"86",1886,34325,21,4,11,64
"87",1887,36346,23,4,11,62
"88",1888,38336,26,4,11,59
"89",1889,40142,23,5,10,62
"90",1890,41055,23,5,11,62
"91",1891,41865,25,5,10,60
"92",1892,40726,23,6,11,59
"93",1893,37023,25,7,11,57
"94",1894,36633,24,8,11,57
"95",1895,36202,28,8,13,52
"96",1896,36469,23,7,13,58
"97",1897,36787,22,9,13,56
"98",1898,38521,20,8,12,60
"99",1899,41290,20,11,13,56
"100",1900,42604,21,11,13,56
"101",1901,41889,19,10,12,58
"102",1902,46132,19,9,12,61
"103",1903,43113,20,10,11,59
"104",1904,48047,29,9,10,51
"105",1905,47235,28,10,11,51
"106",1906,49376,28,9,11,51
"107",1907,56331,30,9,12,49
"108",1908,52023,28,8,12,52
"109",1909,54044,27,7,13,53
"110",1910,57143,30,6,12,52
"111",1911,62302,27,6,13,54
"112",1912,61385,23,6,14,56
"113",1913,64145,23,6,14,57
"114",1914,67174,24,5,13,58
"115",1915,63808,18,5,15,62
"116",1916,64764,25,5,14,56
"117",1917,62920,31,5,12,53
"118",1918,62354,31,4,12,52
"119",1919,63445,28,4,12,57
"120",1920,65909,24,3,11,62
"121",1921,68965,28,2,12,57
"122",1922,72695,23,2,14,60
"123",1923,76398,23,2,14,61
"124",1924,79844,23,3,15,60
"125",1925,86671,26,2,13,58
"126",1926,87654,23,2,15,61
"127",1927,90845,21,3,15,61
"128",1928,90360,20,2,16,61
"129",1929,91182,21,2,17,60
"130",1930,86631,20,2,18,60
"131",1931,74257,21,2,16,62
"132",1932,75846,23,2,16,59
"133",1933,82753,23,2,16,58
"134",1934,86859,26,2,16,56
"135",1935,91734,22,3,16,59
"136",1936,97362,24,3,16,57
"137",1937,100270,25,3,16,56
"138",1938,107352,23,3,17,57
"139",1939,107312,20,3,19,58
"140",1940,109386,NA,NA,NA,NA
"141",1941,117585,NA,NA,NA,NA
"142",1942,134826,NA,NA,NA,NA
"143",1943,146573,NA,NA,NA,NA
"144",1944,144828,NA,NA,NA,NA
"145",1945,136457,NA,NA,NA,NA
"146",1946,130820,NA,NA,NA,NA
"147",1947,126857,NA,NA,NA,NA
"148",1948,137116,NA,NA,NA,NA
"149",1949,143883,21,2,26,50
"150",1950,155559,24,2,25,48
"151",1951,164530,29,2,24,45
"152",1952,169352,19,2,27,51
"153",1953,168036,21,2,26,51
"154",1954,178610,19,2,27,52
"155",1955,189255,16,2,28,53
"156",1956,198770,16,2,28,54
"157",1957,202676,17,2,28,54
"158",1958,206997,13,2,29,56
"159",1959,222364,14,2,29,55
"160",1960,235783,13,2,29,56
"161",1961,241642,13,2,29,57
"162",1962,244978,12,2,28,58
"163",1963,260355,11,2,26,61
"164",1964,278641,12,2,25,61
"165",1965,295319,11,2,26,61
"166",1966,302213,9,2,26,63
"167",1967,321305,10,2,25,63
"168",1968,337782,8,2,25,65
"169",1969,361637,9,2,25,65
"170",1970,387656,7,3,25,65
"171",1971,403159,6,3,24,67
"172",1972,418874,6,3,24,67
"173",1973,429977,7,3,23,67
"174",1974,447672,8,3,22,67
"175",1975,453204,6,4,21,69
"176",1976,465110,5,4,21,70
"177",1977,481732,5,5,20,70
"178",1978,486005,4,5,20,71
"179",1979,506087,6,5,19,69
"180",1980,521559,6,6,19,69
"181",1981,539299,5,6,19,69
"182",1982,556761,5,6,19,70
"183",1983,543876,4,6,18,72
"184",1984,569689,5,7,18,71
"185",1985,598543,4,7,17,71
"186",1986,625997,4,6,17,73
"187",1987,642470,4,5,16,75
"188",1988,678762,4,5,16,75
"189",1989,705368,4,4,15,76
"190",1990,730662,4,4,15,76
"191",1991,728098,4,5,14,77
"192",1992,731216,3,5,14,77
"193",1993,761274,4,5,14,77
"194",1994,792096,4,5,15,77
"195",1995,823697,3,5,15,77
