"","year","males","females","persons","sex_ratio","net_migration_share_of_increase","perc_pop_born_overseas","labour_force","unemp_rate","part_rate"
"1",1800,3780,1437,5217,263,NA,NA,NA,NA,NA
"2",1801,4372,1573,5945,277.9,NA,NA,NA,NA,NA
"3",1802,5208,1806,7014,288.4,NA,NA,NA,NA,NA
"4",1803,5185,2053,7238,252.6,NA,NA,NA,NA,NA
"5",1804,5313,2285,7598,232.5,NA,NA,NA,NA,NA
"6",1805,5395,2312,7707,233.3,NA,NA,NA,NA,NA
"7",1806,5389,2521,7910,213.8,NA,NA,NA,NA,NA
"8",1807,5939,2855,8794,208,NA,NA,NA,NA,NA
"9",1808,6822,3441,10263,198.3,NA,NA,NA,NA,NA
"10",1809,7618,3942,11560,193.3,NA,NA,NA,NA,NA
"11",1810,7585,3981,11566,190.5,NA,NA,NA,NA,NA
"12",1811,7697,4178,11875,184.2,NA,NA,NA,NA,NA
"13",1812,8132,4498,12630,180.8,NA,NA,NA,NA,NA
"14",1813,9102,4855,13957,187.5,NA,NA,NA,NA,NA
"15",1814,9295,4791,14086,194,NA,NA,NA,NA,NA
"16",1815,9848,5215,15063,188.8,NA,NA,NA,NA,NA
"17",1816,11690,5863,17553,199.4,NA,NA,NA,NA,NA
"18",1817,14178,7014,21192,202.1,NA,NA,NA,NA,NA
"19",1818,17286,8573,25859,201.6,NA,NA,NA,NA,NA
"20",1819,21366,10106,31472,211.4,NA,NA,NA,NA,NA
"21",1820,23784,9759,33543,243.7,NA,NA,NA,NA,NA
"22",1821,26179,9313,35492,281.1,NA,NA,NA,NA,NA
"23",1822,27915,9449,37364,295.4,NA,NA,NA,NA,NA
"24",1823,30206,10426,40632,289.7,NA,NA,NA,NA,NA
"25",1824,36871,11201,48072,329.2,NA,NA,NA,NA,NA
"26",1825,40288,12217,52505,329.8,NA,NA,NA,NA,NA
"27",1826,41289,12593,53882,327.9,NA,NA,NA,NA,NA
"28",1827,43053,13247,56300,325,NA,NA,NA,NA,NA
"29",1828,44778,13419,58197,333.7,NA,NA,NA,NA,NA
"30",1829,46946,14988,61934,313.2,NA,NA,NA,NA,NA
"31",1830,52885,17154,70039,308.3,NA,NA,NA,NA,NA
"32",1831,57037,18944,75981,301.1,NA,NA,NA,NA,NA
"33",1832,62254,21683,83937,287.1,NA,NA,NA,NA,NA
"34",1833,71669,26426,98095,271.2,NA,NA,NA,NA,NA
"35",1834,76259,29297,105556,260.3,NA,NA,NA,NA,NA
"36",1835,81929,31425,113354,260.7,NA,NA,NA,NA,NA
"37",1836,89417,35703,125120,250.4,NA,NA,NA,NA,NA
"38",1837,94881,39607,134488,239.6,94.8,NA,NA,NA,NA
"39",1838,105271,46597,151868,225.9,94.6,NA,NA,NA,NA
"40",1839,115480,54459,169939,212,96.6,NA,NA,NA,NA
"41",1840,127306,63102,190408,201.7,90.6,NA,NA,NA,NA
"42",1841,144114,76854,220968,187.5,92.2,NA,110.2,NA,49.9
"43",1842,153758,87226,240984,176.3,81.1,NA,NA,NA,NA
"44",1843,158846,92002,250848,172.7,61.1,NA,NA,NA,NA
"45",1844,165034,99253,264287,166.3,64.5,NA,NA,NA,NA
"46",1845,173159,105989,279148,163.4,52.5,NA,NA,NA,NA
"47",1846,181342,111907,293249,162,55.1,NA,147.1,NA,50.2
"48",1847,190265,118532,308797,160.5,60,NA,NA,NA,NA
"49",1848,201612,130716,332328,154.2,76.5,NA,NA,NA,NA
"50",1849,221978,151384,373362,146.6,87.4,NA,NA,NA,NA
"51",1850,238683,166673,405356,143.2,79.6,NA,NA,NA,NA
"52",1851,256975,180690,437665,142.2,64.3,NA,196.7,NA,44.9
"53",1852,304126,209670,513796,145,94.3,NA,NA,NA,NA
