"","year","exports","imports","balance_of_trade","openness_ratio","current_account_m","current_account_percgdp","terms_of_trade"
"1",1822,0.12,0.04,0.07,6.1,NA,NA,NA
"2",1823,0.05,0.03,0.02,2.8,NA,NA,NA
"3",1824,0.03,0.12,-0.1,4.9,NA,NA,NA
"4",1825,0.05,0.78,-0.73,24.2,NA,NA,NA
"5",1826,0.09,0.92,-0.83,27.9,NA,NA,NA
"6",1827,0.12,1.03,-0.91,29.6,NA,NA,NA
"7",1828,0.18,1.62,-1.44,42.2,NA,NA,NA
"8",1829,0.25,1.85,-1.59,44.3,NA,NA,NA
"9",1830,0.29,1.58,-1.29,35,NA,NA,NA
"10",1831,0.93,1.71,-0.78,45.6,NA,NA,NA
"11",1832,1.08,2.05,-0.96,51.3,NA,NA,NA
"12",1833,1.1,2.23,-1.13,48.6,NA,NA,NA
"13",1834,1.58,3.01,-1.43,52.7,NA,NA,NA
"14",1835,2.39,3.5,-1.1,50.5,NA,NA,NA
"15",1836,2.63,3.66,-1.03,46.4,NA,NA,NA
"16",1837,3.17,3.58,-0.41,47.2,NA,NA,NA
"17",1838,3.32,4.97,-1.65,55,NA,NA,NA
"18",1839,4.26,6.66,-2.39,64.6,NA,NA,NA
"19",1840,5.19,8.61,-3.42,67.5,NA,NA,NA
"20",1841,4.41,8.17,-3.76,61.3,NA,NA,NA
"21",1842,4.07,4.72,-0.66,50.4,NA,NA,NA
"22",1843,3.87,4.81,-0.94,54.2,NA,NA,NA
"23",1844,3.74,3.06,0.68,42.6,NA,NA,NA
"24",1845,4.7,3.92,0.78,49.1,NA,NA,NA
"25",1846,5.31,5.1,0.21,52,NA,NA,NA
"26",1847,6.31,6.29,0.03,57.5,NA,NA,NA
"27",1848,6.2,5.16,1.04,43.2,NA,NA,NA
"28",1849,6.25,6.04,0.21,46.3,NA,NA,NA
"29",1850,7.83,7.27,0.56,52.7,NA,NA,NA
"30",1851,9.03,8.02,1.01,51.1,NA,NA,NA
"31",1852,29.01,14.85,14.15,76.1,NA,NA,NA
"32",1853,36.51,52.92,-16.41,91.8,NA,NA,NA
"33",1854,36.26,57.02,-20.77,74.4,NA,NA,NA
"34",1855,37.63,38.55,-0.91,56.6,NA,NA,NA
"35",1856,43.68,46.71,-3.03,67,NA,NA,NA
"36",1857,44.93,53.95,-9.02,70.6,NA,NA,NA
"37",1858,41.84,48.82,-6.99,62.1,NA,NA,NA
"38",1859,43.16,50.03,-6.88,60.4,NA,NA,NA
"39",1860,41.74,50.98,-9.24,56.7,NA,NA,NA
"40",1861,34.82,35.3,-0.48,41.7,-5,-3,NA
"41",1862,36.14,41.2,-5.06,45.9,-10,-5.9,NA
"42",1863,38.68,42.5,-3.82,48.7,-10.2,-6.1,NA
"43",1864,37.96,41,-3.04,47,-9,-5.4,NA
"44",1865,39.42,41.32,-1.9,47,-8.6,-5,NA
"45",1866,37.96,42.62,-4.66,44.6,-11.8,-6.5,NA
"46",1867,36.76,31.92,4.84,36.4,-2.6,-1.4,NA
"47",1868,43.3,36.88,6.42,40.9,-1.6,-0.8,NA
"48",1869,40.14,39.82,0.32,39.6,-8.2,-4.1,NA
"49",1870,36.02,35.66,0.36,34.3,-7.4,-3.5,NA
"50",1871,43.46,34.04,9.42,36.6,0.6,0.3,108.6
"51",1872,45.04,37.66,7.38,36.4,-2.2,-1,111.7
"52",1873,52.74,49.14,3.6,38.2,-6,-2.3,106.4
"53",1874,51.3,49.1,2.2,34.9,-9,-3.1,108.6
"54",1875,49.96,49.88,0.08,33.2,-10.8,-3.6,111.8
"55",1876,47.08,47.92,-0.84,30.5,-12.6,-4,112.9
"56",1877,46.22,51.6,-5.38,31.2,-16.8,-5.4,108.4
"57",1878,47.54,52.36,-4.82,30.8,-18,-5.6,106
"58",1879,42.36,48.46,-6.1,27.2,-19.2,-5.7,110.5
"59",1880,54.52,45.88,8.64,29.2,-6,-1.7,113.6
"60",1881,55.06,58.14,-3.08,31.2,-17.6,-4.9,112.4
"61",1882,54.62,72.2,-17.58,33.2,-33.6,-8.8,114.7
"62",1883,60.12,70.9,-10.78,31.8,-29.4,-7.1,115.9
"63",1884,57.42,73.98,-16.56,30.5,-35.8,-8.3,114.9
"64",1885,53.34,73.72,-20.38,28.8,-41,-9.3,112.3
"65",1886,43.4,68.36,-24.96,24.7,-46,-10.2,108.7
"66",1887,46.84,59.14,-12.3,22.4,-37.6,-8,108.6
"67",1888,57.8,73.76,-15.96,26.2,-42.8,-8.5,108.2
"68",1889,59.1,75.16,-16.06,25.1,-45.4,-8.5,105.4
"69",1890,58.64,70.34,-11.7,23.3,-41.4,-7.5,102.8
"70",1891,72.08,75.42,-3.34,27.3,-34,-6.3,99.2
"71",1892,66.74,60.22,6.52,25.6,-22.2,-4.5,96.1
"72",1893,66.46,47.54,18.92,26.4,-8.6,-2,92.6
"73",1894,64.26,43.8,20.46,26.9,-6.4,-1.6,87.5
"74",1895,67.28,46.4,20.88,29.5,-6.4,-1.7,86.7
"75",1896,65.92,59.32,6.6,31.2,-21.8,-5.4,88.6
"76",1897,75.56,63.92,11.64,33.4,-16,-3.8,87.4
"77",1898,80.34,62.96,17.38,32.5,-11,-2.5,87.7
"78",1899,97.2,68.66,28.54,34.7,-1.8,-0.4,101
"79",1900,91.92,82.78,9.14,35.5,-20.8,-4.2,104.5
"80",1901,70.6,76,-5.4,29.1,-4.6,-0.9,93.5
"81",1902,58.6,71.8,-13.2,24.4,-13.8,-2.6,101.3
"82",1903,59.6,66.8,-7.2,24.5,-7.8,-1.5,110.9
"83",1904,79.2,65.6,13.6,26.8,13.2,2.4,112.2
"84",1905,89.8,67.4,22.4,29.4,19.6,3.7,118.1
"85",1906,105.6,77.8,27.8,31.8,22.2,3.8,116.2
"86",1907,123.8,91.4,32.4,33.2,24.6,3.8,114.7
"87",1908,99.8,89,10.8,29.3,3,0.5,111
"88",1909,112.6,91.6,21,29.6,12,1.7,110.9
