"","year","ave_nom_assist_ag","ave_nom_assist_manuf","rra"
"1",1904,6.5,29.7,21.8
"2",1905,11.6,28.8,15.4
"3",1906,6.8,28,19.9
"4",1907,6.7,26.7,18.7
"5",1908,8,26.2,16.8
"6",1909,7.8,30.6,21.1
"7",1910,9.2,30.5,19.5
"8",1911,8.8,30.3,19.8
"9",1912,9.3,28.6,17.7
"10",1913,7.6,27.8,18.8
"11",1914,6,28.1,20.8
"12",1915,4.8,28.7,22.9
"13",1916,5.1,25.5,19.4
"14",1917,4.9,25,19.1
"15",1918,6.2,20.7,13.7
"16",1919,4.5,19.8,14.7
"17",1920,4.7,22.6,17.1
"18",1921,3.1,21.4,17.7
"19",1922,4.1,26.7,21.7
"20",1923,3.9,25.6,20.8
"21",1924,5.6,25.8,19.1
"22",1925,4,27.3,22.4
"23",1926,4.6,29.3,23.6
"24",1927,4.8,30.3,24.3
"25",1928,5.2,31.9,25.4
"26",1929,4.9,32.9,26.7
"27",1930,7.4,39.3,29.7
"28",1931,7.1,52.2,42.1
"29",1932,8.7,72,58.2
"30",1933,8.1,65,52.7
"31",1934,6.4,63.6,53.7
"32",1935,9.1,57.7,44.6
"33",1936,6,55.2,46.4
"34",1937,4.2,54.4,48.1
"35",1938,3,48.8,44.5
"36",1939,5.9,55.6,46.9
"37",1940,4.3,52.8,46.5
"38",1941,4.1,60.4,54.1
"39",1942,4.9,47.4,40.5
"40",1943,6.1,51.8,43.1
"41",1944,9.5,52.2,39
"42",1945,11.4,54.8,39
"43",1946,7.4,47.1,37
"44",1947,-13.5,46.9,69.8
"45",1948,-4.6,29.7,36
"46",1949,-4.9,27,33.5
"47",1950,-4.9,26.2,32.7
"48",1951,-3.2,24.5,28.6
"49",1952,-1.1,23,24.4
"50",1953,2.5,33.9,30.6
"51",1954,4.5,26.3,20.9
"52",1955,6.1,22.9,15.8
"53",1956,5.3,22,15.9
"54",1957,7.9,21.9,13
"55",1958,10.3,19.8,8.6
"56",1959,7.5,21.7,13.2
"57",1960,8.9,21.2,11.3
"58",1961,11,20,8.1
"59",1962,10.3,22.1,10.7
"60",1963,9.8,22,11.1
"61",1964,7.2,22.3,14.1
"62",1965,9.1,22.9,12.6
"63",1966,10.6,22,10.3
"64",1967,9.6,22.4,11.7
"65",1968,15.4,22.8,6.4
"66",1969,13.8,23,8.1
"67",1970,14.2,23.3,8.6
"68",1971,17.5,25.5,4.7
"69",1972,12.8,26.6,9
"70",1973,7.5,30.1,13.5
"71",1974,3.9,26.8,17.4
"72",1975,2.4,28.6,14.3
"73",1976,4.5,29.7,10
"74",1977,5.4,29.4,10.1
"75",1978,5.9,29,8.6
"76",1979,4.3,31.3,10.3
"77",1980,3.1,28.8,11.5
"78",1981,3.6,28.4,11
"79",1982,3.7,27.7,10.9
"80",1983,8,28.1,7.4
"81",1984,6.3,27,9.1
"82",1985,5.6,27,7
"83",1986,6.1,26.3,6.5
"84",1987,8.8,24.8,2.9
"85",1988,5.8,24.3,5.9
"86",1989,4.3,23.5,6.4
"87",1990,3.6,22.9,6.2
"88",1991,6.5,21.3,2.3
"89",1992,4.5,20.4,4.3
"90",1993,4,18.9,3.8
"91",1994,3.7,17.1,3.2
"92",1995,3.5,16.1,2.4
"93",1996,3,14.7,1.9
"94",1997,3.1,12.2,1.8
"95",1998,2.7,11.3,1.3
"96",1999,2.7,10.9,0.3
"97",2000,2.1,10.6,0.9
"98",2001,0,11.2,3
"99",2002,0,10.4,3
"100",2003,0,10,3
"101",2004,0,10,3
"102",2005,0,9.5,3
