"","year","dwelling_inv_percgdp","nondwelling_inv_percgdp"
"1",1861,2.6,2.2
"2",1862,2.6,1.3
"3",1863,3,4.4
"4",1864,3.9,2.5
"5",1865,3.5,3.1
"6",1866,2.8,2.6
"7",1867,3.2,1.7
"8",1868,2.6,4.4
"9",1869,3.1,3.4
"10",1870,2.9,2.7
"11",1871,2.4,2.1
"12",1872,3.4,4.4
"13",1873,3,4.1
"14",1874,2.7,4.4
"15",1875,2.7,5.8
"16",1876,3.6,5.3
"17",1877,2.6,9.3
"18",1878,2.4,6.5
"19",1879,2.6,4
"20",1880,2.3,6.2
"21",1881,3.5,7.7
"22",1882,3.4,4.4
"23",1883,5,3.3
"24",1884,4.6,4
"25",1885,3.9,3.9
"26",1886,3.3,6.2
"27",1887,4.2,6
"28",1888,4.3,6.3
"29",1889,2.6,6.1
"30",1890,3,3.8
"31",1891,2.3,6.1
"32",1892,2,2.2
"33",1893,1.6,1.4
"34",1894,2.1,2.6
"35",1895,1.8,1.3
"36",1896,1.8,3.4
"37",1897,0.8,1
"38",1898,1.8,3.2
"39",1899,0.9,3.5
"40",1900,0.8,2.9
"41",1901,1.8,3.6
"42",1902,3.4,4.1
"43",1903,2.5,4.1
"44",1904,2,3.3
"45",1905,2.2,3.2
"46",1906,2.1,3.5
"47",1907,2.9,4.5
"48",1908,2.9,4
"49",1909,1.9,3.6
"50",1910,1.7,3.6
"51",1911,1.6,3.9
"52",1912,2.4,4.2
"53",1913,3.3,4.1
"54",1914,3.3,4.1
"55",1915,3,2.4
"56",1916,2,2.2
"57",1917,1.5,3.2
"58",1918,1.5,2.8
"59",1919,1.9,3.7
"60",1920,2.1,4.6
"61",1921,1.7,4.8
"62",1922,2.5,5.4
"63",1923,3.3,4.8
"64",1924,3.5,4.8
"65",1925,3.2,4.1
"66",1926,3.5,4.1
"67",1927,3.7,3.8
"68",1928,3.7,3.6
"69",1929,3.3,3.7
"70",1930,2.6,2.6
"71",1931,1.6,3
"72",1932,1,2.4
"73",1933,1.7,2.2
"74",1934,1.8,2.9
"75",1935,2.1,3.8
"76",1936,2.5,3.7
"77",1937,2.6,3.7
"78",1938,2.7,4.5
"79",1939,2.9,4.4
"80",1940,2.4,4.8
"81",1941,2.1,3.7
"82",1942,1.1,2.7
"83",1943,0.4,2
"84",1944,0.3,2.3
"85",1945,0.4,3
"86",1946,0.8,4.8
"87",1947,1.8,5.9
"88",1948,2.1,6
"89",1949,2.8,6.8
"90",1950,3.1,7.4
"91",1951,3.3,8
"92",1952,3.9,8.9
"93",1953,3.6,7.8
"94",1954,3.5,8.6
"95",1955,3.6,9.2
"96",1956,3.5,9.6
"97",1957,3.2,9.3
"98",1958,3.6,9.7
"99",1959,3.7,9.1
"100",1960,4.3,10.5
"101",1961,4.5,11
"102",1962,3.9,10.8
"103",1963,4,11.1
"104",1964,4.2,11.2
"105",1965,4.6,11.9
"106",1966,4.4,12.5
"107",1967,4.3,11.6
"108",1968,4.5,11.5
"109",1969,4.6,11.9
"110",1970,4.7,11.2
"111",1971,4.5,12.2
"112",1972,4.8,11.9
"113",1973,5.2,10.9
"114",1974,5.2,10.5
"115",1975,4.2,10.5
"116",1976,5.1,10.3
"117",1977,5.7,10.1
"118",1978,5.7,10.4
"119",1979,5.4,11.6
"120",1980,5.5,10.9
"121",1981,6.2,12
"122",1982,5.9,12.8
"123",1983,4.7,11.5
"124",1984,4.7,10.5
"125",1985,5.1,11
"126",1986,5,12
"127",1987,4.3,12.5
"128",1988,4.4,13.1
"129",1989,5.5,13.1
"130",1990,5.3,12.4
"131",1991,4.8,10.3
"132",1992,4.9,8.8
"133",1993,5.3,9
"134",1994,5.8,9.3
"135",1995,5.7,10.6
"136",1996,4.8,11
"137",1997,4.7,11
"138",1998,5.3,11.6
"139",1999,5.5,11.6
"140",2000,6.1,11.4
"141",2001,4.8,10.5
"142",2002,5.5,10.5
"143",2003,6.1,11.6
"144",2004,6.4,11.9
"145",2005,6.3,12.5
"146",2006,6,13.6
"147",2007,5.6,13.5
"148",2008,5.5,14
"149",2009,5.3,14.1
"150",2010,5.3,12.5
