year,ProdWage,UnskillWage,Population,GDPpc,RelWage,Urbanization,Age20_29,RelDebt,Distrust,elite,epsilon,PSI
1924,11.81394737,348.23,5882002,13900,0.033925702,0.624512497,0.15705537,2.36,51,,,
1925,12.14526316,360.82,6003027,14700,0.033660172,0.626047089,0.157453898,2.43,51,,,
1926,12.14526316,363.06,6124020,14600,0.033452496,0.627581682,0.157723195,2.42,51,,,
1927,12.22710526,365.06,6251016,14800,0.033493413,0.629116275,0.159254112,2.42,51,,,
1928,12.11789474,360.92,6355770,14500,0.033575016,0.630650868,0.161365185,2.45,51,,,
1929,12.22526316,367.18,6436213,14300,0.033295014,0.632185461,0.162875281,2.46,51,,,
1930,11.94973684,352.24,6500751,13500,0.033924985,0.633720054,0.163458037,2.22,51,,,
1931,10.00552632,308.86,6552606,11400,0.032395021,0.635254646,0.164102649,2.01,51,,,
1932,10.28052632,314.33,6603785,11600,0.032706157,0.636789239,0.165329429,1.86,51,,,
1933,10.75631579,329.34,6656695,12500,0.032660217,0.638323832,0.167109955,1.83,51,,,
1934,11.97868421,333.81,6707247,13000,0.035884737,0.641805682,0.169473407,1.9,51,,,
1935,12.47342105,339.28,6755662,13700,0.036764387,0.645287533,0.171293354,1.96,51,,,
1936,12.30710526,334.75,6810413,14400,0.036765064,0.648769383,0.171825115,2.05,51,,,
1937,13.20394737,359.75,6871492,14700,0.03670312,0.652251233,0.172073256,2.17,51,,,
1938,13.11684211,359.98,6935909,15600,0.036437697,0.655733084,0.171455537,2.2,51,,,
1939,12.91526316,355.7,7004912,15500,0.036309427,0.659214934,0.170566026,2.25,51,,,
1940,12.91684211,360.53,7077586,15600,0.035827371,0.662696784,0.170001467,2.32,51,,,
1941,13.42789474,360.92,7143598,16600,0.037204629,0.666178635,0.170446321,2.34,51,,,
1942,13.12184211,361.6,7201096,18900,0.03628828,0.669660485,0.17004356,2.37,51,,,
1943,12.79447368,354.59,7269658,20400,0.036082444,0.673142335,0.168549882,2.5,51,,,
1944,12.82526316,354.44,7347024,19900,0.036184582,0.676624186,0.165903909,2.57,51,,,
1945,12.82526316,354.44,7430197,18600,0.036184582,0.680106036,0.163535368,2.67,51,,,
1946,13.43105263,380.07,7517981,17600,0.035338366,0.683587886,0.161851965,2.87,51,,,
1947,14.75736842,379.66,7637963,16900,0.038869958,0.687069737,0.159113104,3.15,51,,,
1948,14.20052632,375.52,7792465,18000,0.037815632,0.701351528,0.15824261,3.5,51,,,
1949,13.73921053,372.1,8045570,18500,0.036923436,0.71563332,0.157962705,3.85,51,,,
1950,14.94447368,429.9,8307481,19300,0.034762674,0.729915112,0.158700333,4.2,51,,,
1951,14.73552632,444.4,8527907,19800,0.03315825,0.744196903,0.156826288,5.27,51,,,
1952,14.11657895,437.86,8739569,19900,0.032239937,0.758478695,0.153051026,5.5,51,,,
1953,13.74868421,428.12,8902686,19200,0.03211409,0.772760487,0.148168766,6.28,51,,,
1954,14.61815789,421.53,9089936,20100,0.034678808,0.787042278,0.143092317,6.46,51,,,
1955,14.39684211,415.15,9311825,20800,0.034678651,0.791669057,0.13887718,6.5,51,,,
1956,14.06078947,409.47,9530871,21300,0.034338998,0.796295835,0.135926716,6.7,51,,,
1957,14.09473684,414.24,9744087,21300,0.034025533,0.800922614,0.133434769,7.16,51,,,
1958,14.20868421,419.41,9947358,21200,0.033877791,0.805549393,0.130466803,7.17,51,,,
1959,15.41105263,434.49,10160968,22400,0.035469292,0.810176171,0.128698368,7.17,51,,,
1960,14.85684211,418.87,10391920,23200,0.035468862,0.81480295,0.1274163,7.48,51,,,
1961,14.99315789,427.31,10642654,23300,0.035087309,0.819429728,0.126688324,7.7,51,,,
