date	value	vard	vardd
02/1978	1534.9	title	Employed total; Persons
03/1978	1529.6	narrow cat.	year olds by Sex - Trend, Seasonally adjusted and Original
04/1978	1527.3	broad cat.	Labour Force, Australia
05/1978	1521.4	unit	000
06/1978	1519.3	prices	-
07/1978	1519.1	source	ABS
08/1978	1488.4	dataset	6202.0
09/1978	1498.8	seriestype	Original
10/1978	1502.2		
11/1978	1494.3		
12/1978	1567.1		
01/1979	1546.6		
02/1979	1551.1		
03/1979	1545		
04/1979	1538.5		
05/1979	1539.5		
06/1979	1525.8		
07/1979	1530.7		
08/1979	1522.1		
09/1979	1545.9		
10/1979	1528.8		
11/1979	1550		
12/1979	1624.6		
01/1980	1595		
02/1980	1602		
03/1980	1601		
04/1980	1582.7		
05/1980	1609.3		
06/1980	1598.8		
07/1980	1606		
08/1980	1583.5		
09/1980	1617.1		
10/1980	1596.7		
11/1980	1606.4		
12/1980	1685.4		
01/1981	1638.1		
02/1981	1652.8		
03/1981	1659.2		
04/1981	1654.8		
05/1981	1657.8		
06/1981	1647.8		
07/1981	1634.5		
08/1981	1612.7		
09/1981	1647.7		
10/1981	1617		
11/1981	1604.9		
12/1981	1687.7		
01/1982	1651		
02/1982	1647		
03/1982	1646.3		
04/1982	1622.4		
05/1982	1621		
06/1982	1590.7		
07/1982	1598.7		
08/1982	1572.7		
09/1982	1583.4		
10/1982	1563.2		
11/1982	1544.1		
12/1982	1572		
01/1983	1527.8		
02/1983	1510.5		
03/1983	1507.9		
04/1983	1505.4		
05/1983	1516.1		
06/1983	1499.5		
07/1983	1503.1		
08/1983	1478		
09/1983	1512.8		
10/1983	1518.5		
11/1983	1522.8		
12/1983	1584.1		
01/1984	1536.9		
02/1984	1523.1		
03/1984	1553.7		
04/1984	1548.2		
05/1984	1554.7		
06/1984	1531.8		
07/1984	1553		
08/1984	1519.4		
09/1984	1551.6		
10/1984	1527.3		
11/1984	1528		
12/1984	1586.1		
01/1985	1566.2		
02/1985	1569.4		
03/1985	1564.1		
04/1985	1572.2		
05/1985	1595.4		
06/1985	1582.1		
07/1985	1579.7		
08/1985	1564.9		
09/1985	1618.4		
10/1985	1587.2		
