year,ProdWage,UnskillWage,Population,GDPpc,RelWage,Urbanization,Age20_29,RelDebt,Distrust,elite,epsilon,PSI,RelWage1,RelWage2
1924,11.81394737,348.23,5882002.0,13900.0,1.3462979285971557,0.624512497,0.15705537,2.36,0.51,1.0,1.0,0.08768694208331083,1.350979854424704,1.3416160027696074
1925,12.14526316,360.82,6003027.0,14700.0,1.313875515828133,0.626047089,0.157453898,2.43,0.51,0.9742777641381356,1.0773089437942267,0.08408628641395036,1.313282738638831,1.314468293017435
1926,12.14526316,363.06,6124020.0,14600.0,1.3269827727266796,0.627581682,0.157723195,2.42,0.51,0.9503884753853653,1.0832910587433215,0.08076851254280387,1.322277825889782,1.3316877195635772
1927,12.22710526,365.06,6251016.0,14800.0,1.3170639086071585,0.629116275,0.159254112,2.42,0.51,0.9257474039677767,1.1285159475921112,0.07701672914204147,1.3131991016873172,1.3209287155269995
1928,12.11789474,360.92,6355770.0,14500.0,1.33068249874776,0.630650868,0.161365185,2.45,0.51,0.901673863835433,1.135541049943345,0.07587650111357025,1.3283967822151843,1.3329682152803355
1929,12.22526316,367.18,6436213.0,14300.0,1.3669823134045789,0.632185461,0.162875281,2.46,0.51,0.8768232703197786,1.1043936887312267,0.07502918352752597,1.3589103938706095,1.3750542329385484
1930,11.94973684,352.24,6500751.0,13500.0,1.4021358480552304,0.633720054,0.163458037,2.22,0.51,0.8499771063419448,1.0760078117549572,0.06607369455078073,1.4069971384614883,1.3972745576489727
1931,10.00552632,308.86,6552606.0,11400.0,1.4229910372414432,0.635254646,0.164102649,2.01,0.51,0.8212968719257864,1.0747378134252512,0.05738853652942548,1.3950948284667297,1.4508872460161566
1932,10.28052632,314.33,6603785.0,11600.0,1.4299244193177718,0.636789239,0.165329429,1.86,0.51,0.7915713834180416,1.1016978243930926,0.05018148540911592,1.40872428503271,1.4511245536028339
1933,10.75631579,329.34,6656695.0,12500.0,1.3893738265852176,0.638323832,0.167109955,1.83,0.51,0.7615051496010897,1.2266557810545404,0.04448316384616656,1.367798655210517,1.4109489979599183
1934,11.97868421,333.81,6707247.0,13000.0,1.4198736393311595,0.641805682,0.169473407,1.9,0.51,0.7334800192053189,1.2099138585595708,0.04500005402201974,1.4646518517683202,1.375095426893999
1935,12.47342105,339.28,6755662.0,13700.0,1.3867169244720463,0.645287533,0.171293354,1.96,0.51,0.7039088216212196,1.3327991612394319,0.042080793095610705,1.447217004649883,1.3262168442942097
1936,12.30710526,334.75,6810413.0,14400.0,1.3017044667539488,0.648769383,0.171825115,2.05,0.51,0.6760215926094818,1.580151890410026,0.03830454997439299,1.3585075749535553,1.2449013585543423
1937,13.20394737,359.75,6871492.0,14700.0,1.3691649437521725,0.652251233,0.172073256,2.17,0.51,0.6528439455736452,1.478177466645378,0.04006685253669823,1.4277596075502896,1.3105702799540555
1938,13.11684211,359.98,6935909.0,15600.0,1.2861317289418017,0.655733084,0.171455537,2.2,0.51,0.6258811646876197,1.7448027470448992,0.03518289408499622,1.3365134509602494,1.235750006923354
1939,12.91526316,355.7,7004912.0,15500.0,1.2766997113249294,0.659214934,0.170566026,2.25,0.51,0.6036336979232919,1.833011969834829,0.033280640644468236,1.3244641362061431,1.228935286443716
1940,12.91684211,360.53,7077586.0,15600.0,1.2768864642703233,0.662696784,0.170001467,2.32,0.51,0.5819606522673344,1.9007850518305593,0.031962005645714,1.3161348653258105,1.2376380632148363
1941,13.42789474,360.92,7143598.0,16600.0,1.2250625404762654,0.666178635,0.170446321,2.34,0.51,0.5602761507851647,2.1158489351813023,0.02929028410241645,1.2857853748341652,1.1643397061183653
1942,13.12184211,361.6,7201096.0,18900.0,1.0640743931629748,0.669660485,0.17004356,2.37,0.51,0.5419046364305776,2.642035214295692,0.026530513554799434,1.1035744700199641,1.0245743163059857
1943,12.79447368,354.59,7269658.0,20400.0,0.9638786693609802,0.673142335,0.168549882,2.5,0.51,0.53588302801911,2.9577451493291322,0.0271914536142035,0.996921355282623,0.9308359834393375
1944,12.82526316,354.44,7347024.0,19900.0,0.9891245648465099,0.676624186,0.165903909,2.57,0.51,0.5396305256852807,2.8656376413681945,0.028011198031230745,1.0244289668362543,0.9538201628567656
1945,12.82526316,354.44,7430197.0,18600.0,1.0582569269056745,0.680106036,0.163535368,2.67,0.51,0.540730026753195,2.6642322847843367,0.02904604723941854,1.0960288408624441,1.0204850129489051
